group_id,mae,rmse,r2,n_samples,actual_sum,predicted_sum,accuracy
1001_1_10,0.17415809631347656,0.18847620550192384,0.0,3,3,3.5224743,86.93814277648926
1002_2_10,0.19643983840942383,0.23715882076582231,0.0,5,5,5.611595,89.80674743652344
1003_3_10,0.2857016623020172,0.5413602643752038,0.33012357521282154,8,10,9.314072,93.76428777521308
1005_5_10,1.4328032433986664,2.1916746919183727,-0.024733430441705506,4,9,6.185524,71.85523986816406
1006_6_10,0.12122829755147298,0.12396329316251421,0.0,3,3,3.363685,90.90787768363953
1007_7_10,0.22826039791107178,0.2520325896699377,0.0,4,4,4.9130416,81.73916816711426
1008_8_10,0.36200642585754395,0.36200642585754395,0.0,1,1,1.3620064,81.8996787071228
1009_9_10,0.16811029116312662,0.16863516436191442,0.0,3,3,3.5043309,87.3917281627655
1010_10_10,0.07122814655303955,0.0855493031121828,0.0,2,2,2.1424563,95.25145689646402
1011_11_10,0.2536441485087077,0.3752222335991708,-0.013700417027485035,6,7,6.8918896,98.64861965179443
1012_12_10,0.3601033687591553,0.3642560540427875,0.0,2,2,2.7202067,75.99310874938965
1014_14_10,0.17883992195129395,0.18876164127467904,0.0,2,2,2.3576798,88.07733853658041
1015_15_10,0.10345594088236491,0.13168115509905143,0.0,3,3,3.2353451,94.1163718700409
1016_16_10,0.10257518291473389,0.10257974899267486,0.0,2,2,2.2051504,93.16165447235107
1017_17_10,0.2630230188369751,0.2637916764467183,0.0,2,2,2.526046,82.465132077535
1018_18_10,0.009117364883422852,0.009117364883422852,0.0,1,1,1.0091174,99.54413175582886
1019_19_10,0.06361059347788493,0.07538511758368978,0.0,6,6,6.156378,97.76603153773716
1020_20_10,0.02805352210998535,0.02805352210998535,0.0,1,1,0.9719465,98.59732389450073
1021_21_10,0.32802118360996246,0.4875093807273294,0.14306561335114198,16,19,20.534767,92.32616424560547
1022_22_10,0.037593722343444824,0.04168017158765271,0.0,2,2,2.0751874,97.49375184377035
1023_23_10,0.5218241135279338,0.6587311980254837,-0.16230390513952409,15,21,20.323566,96.92530198530717
1025_25_10,0.10857009887695312,0.10865924119687458,0.0,2,2,2.2171402,92.76199340820312
1026_26_10,0.44332130750020343,0.4538374018537456,0.0,3,3,4.3299637,66.75090789794922
1027_27_10,2.485273857911428,3.6980042270720217,0.03986646614542877,12,41,35.44294,86.76890418643043
1029_29_10,0.2625362078348796,0.39443803711196956,-0.12018582886935292,6,7,6.7910438,97.38804697990417
1030_30_10,0.27145849574695935,0.37837145313232157,0.03761334766659896,11,13,12.745423,98.18159512111119
1031_31_10,0.40679049491882324,0.40679049491882324,0.0,1,1,1.4067905,79.66047525405884
1032_32_10,0.40543384552001954,0.4720247664062559,-0.39254612563050273,5,6,6.284836,95.93091692243304
1033_33_10,0.3759934902191162,0.4079258298526088,0.0,2,2,2.751987,74.93376731872559
1034_34_10,0.03309440612792969,0.04559078032113402,0.0,2,2,1.9372854,97.90951410929361
1035_35_10,0.7090153694152832,0.7090153694152832,0.0,1,1,1.7090154,64.54923152923584
1036_36_10,0.14078712463378906,0.14112587751636585,0.0,4,4,4.5631485,88.73703002929688
1037_37_10,2.1012414031558566,2.5301267260500686,-0.012743830546289248,9,35,34.705383,99.18162027994791
1038_38_10,0.23260280064174108,0.3572294281451533,-0.04217172538545788,7,8,7.9081764,98.979738023546
1039_39_10,0.006794452667236328,0.006794452667236328,0.0,1,1,1.0067945,99.66027736663818
1040_40_10,0.20202473799387613,0.37339648986746427,-0.0038595582464724387,6,7,6.4185658,92.73207187652588
1041_41_10,0.08677717049916585,0.1274951377622769,0.0,6,6,6.1068482,98.47359657287598
1042_42_10,0.5093911488850912,0.526866740002648,0.0,3,3,4.5281734,61.795663833618164
1043_43_10,0.363068962097168,0.5614696591122711,0.231102004625244,10,13,12.047236,93.19454601832798
1044_44_10,0.09385442733764648,0.09385442733764648,0.0,1,1,1.0938544,95.30727863311768
1045_45_10,0.1392660140991211,0.14422205562764057,0.0,3,3,2.7699108,94.24777030944824
1046_46_10,0.10895085334777832,0.12881622909151905,0.0,5,5,5.346624,94.22293504079184
1047_47_10,0.3133901868547712,0.6123629332369824,0.23439876091135647,7,9,8.008648,90.08647918701172
1048_48_10,0.42482164773074066,0.5331671058972933,-2.439632670011837,11,12,14.921745,77.52503615159254
1049_49_10,0.380983571211497,0.4501383723950527,0.0,6,6,8.285902,67.34425680977958
1050_50_10,0.16755542755126954,0.19557268294227692,0.0,5,5,5.837777,86.03704770406088
1101_1_11,2.6492404268499006,4.551903831269363,0.7702244458209335,57,340,329.55893,96.93810247605846
1102_2_11,0.6447516679763794,0.8156963947065412,0.3412271204581687,20,34,37.74075,89.31214468819755
1103_3_11,2.227574525340911,3.2091445328723958,0.6324145372226502,62,361,350.1904,97.01392242263034
1104_4_11,2.051776717106501,2.795336526357909,0.42466956074904205,24,101,102.39218,98.63511627795648
