group_id,actual_sum,actual_mean,pred_sum,pred_mean,mae
1001_1_10,3,1.0,3.52,1.17,0.17
1002_2_10,5,1.0,5.61,1.12,0.2
1003_3_10,10,1.25,9.31,1.16,0.29
1005_5_10,9,2.25,6.19,1.55,1.43
1006_6_10,3,1.0,3.36,1.12,0.12
1007_7_10,4,1.0,4.91,1.23,0.23
1008_8_10,1,1.0,1.36,1.36,0.36
1009_9_10,3,1.0,3.5,1.17,0.17
1010_10_10,2,1.0,2.14,1.07,0.07
1011_11_10,7,1.17,6.89,1.15,0.25
1012_12_10,2,1.0,2.72,1.36,0.36
1014_14_10,2,1.0,2.36,1.18,0.18
1015_15_10,3,1.0,3.24,1.08,0.1
1016_16_10,2,1.0,2.21,1.1,0.1
1017_17_10,2,1.0,2.53,1.26,0.26
1018_18_10,1,1.0,1.01,1.01,0.01
1019_19_10,6,1.0,6.16,1.03,0.06
1020_20_10,1,1.0,0.97,0.97,0.03
1021_21_10,19,1.19,20.53,1.28,0.33
1022_22_10,2,1.0,2.08,1.04,0.04
1023_23_10,21,1.4,20.32,1.35,0.52
1025_25_10,2,1.0,2.22,1.11,0.11
1026_26_10,3,1.0,4.33,1.44,0.44
1027_27_10,41,3.42,35.44,2.95,2.49
1029_29_10,7,1.17,6.79,1.13,0.26
1030_30_10,13,1.18,12.75,1.16,0.27
1031_31_10,1,1.0,1.41,1.41,0.41
1032_32_10,6,1.2,6.28,1.26,0.41
1033_33_10,2,1.0,2.75,1.38,0.38
1034_34_10,2,1.0,1.94,0.97,0.03
1035_35_10,1,1.0,1.71,1.71,0.71
1036_36_10,4,1.0,4.56,1.14,0.14
1037_37_10,35,3.89,34.71,3.86,2.1
1038_38_10,8,1.14,7.91,1.13,0.23
1039_39_10,1,1.0,1.01,1.01,0.01
1040_40_10,7,1.17,6.42,1.07,0.2
1041_41_10,6,1.0,6.11,1.02,0.09
1042_42_10,3,1.0,4.53,1.51,0.51
1043_43_10,13,1.3,12.05,1.2,0.36
1044_44_10,1,1.0,1.09,1.09,0.09
1045_45_10,3,1.0,2.77,0.92,0.14
1046_46_10,5,1.0,5.35,1.07,0.11
1047_47_10,9,1.29,8.01,1.14,0.31
1048_48_10,12,1.09,14.92,1.36,0.42
1049_49_10,6,1.0,8.29,1.38,0.38
1050_50_10,5,1.0,5.84,1.17,0.17
1101_1_11,340,5.96,329.56,5.78,2.65
1102_2_11,34,1.7,37.74,1.89,0.64
1103_3_11,361,5.82,350.19,5.65,2.23
1104_4_11,101,4.21,102.39,4.27,2.05
1105_5_11,116,4.83,106.95,4.46,3.05
1106_6_11,57,2.11,63.76,2.36,1.28
1201_1_12,442,7.13,384.81,6.21,3.56
1202_2_12,205,3.6,191.08,3.35,1.73
1203_3_12,364,6.28,348.96,6.02,3.0
1204_4_12,162,3.31,152.47,3.11,1.4
1205_5_12,31,1.55,32.45,1.62,0.45
1206_6_12,94,2.35,94.68,2.37,1.07
1301_1_13,446,7.19,426.55,6.88,2.96
1302_2_13,447,7.84,430.46,7.55,2.76
1303_3_13,463,7.85,449.31,7.62,3.08
1304_4_13,151,2.85,151.02,2.85,1.39
1305_5_13,123,2.73,121.24,2.69,1.26
1306_6_13,292,5.62,317.19,6.1,3.03
1307_7_13,90,2.2,90.88,2.22,0.85
1401_1_14,506,8.16,518.49,8.36,3.11
1402_2_14,38,1.58,41.11,1.71,0.73
1403_3_14,44,2.32,44.59,2.35,1.45
1404_4_14,82,2.16,84.22,2.22,1.1
1405_5_14,46,1.7,50.56,1.87,0.83
1406_6_14,387,6.45,393.72,6.56,2.78
1407_7_14,154,2.66,174.97,3.02,1.53
1408_8_14,39,2.17,41.72,2.32,1.13
1409_9_14,49,2.04,51.42,2.14,1.31
1410_10_14,53,2.3,55.99,2.43,1.12
1411_11_14,278,4.63,291.33,4.86,2.04
1412_12_14,100,2.5,106.18,2.65,1.32
1413_13_14,17,1.55,18.04,1.64,0.66
1414_14_14,101,2.66,111.92,2.95,1.16
1415_15_14,80,2.22,80.08,2.22,1.26
1416_16_14,11,1.22,10.59,1.18,0.32
1501_1_15,70,2.26,73.88,2.38,0.99
1502_2_15,58,1.81,58.55,1.83,0.84
1503_3_15,126,2.93,116.44,2.71,1.63
1504_4_15,87,2.29,86.97,2.29,1.02
1505_5_15,92,2.3,87.57,2.19,0.98
1506_6_15,95,2.64,95.3,2.65,1.41
1507_7_15,43,1.65,42.1,1.62,0.61
1601_1_16,838,13.52,855.15,13.79,3.92
1602_2_16,213,3.87,211.24,3.84,1.83
1603_3_16,156,2.84,163.54,2.97,1.24
